Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi_position,pi_name
CPI/IDEAL Proposal for Project Nourish Plus in Myammar,Community Partners International (CPI),Grant Proposal,Project Nourish Plus Evaluation in Myanmar,10/23/2020,0,1,Myanmar,0.0,,10/23/2020,pi1,Elisa Maffioli
CPI/IDEAL Proposal for Project Nourish Plus in Myammar,Community Partners International (CPI),Grant Proposal,Project Nourish Plus Evaluation in Myanmar,10/23/2020,0,1,Myanmar,0.0,,10/23/2020,pi2,Adam Richards
"IGC-22-20029: Managers, Motivation, and Worker Productivity: Evidence from Survey Enumerators (Uganda)",International Growth Centre (IGC),Grant Award,Project with IPA Managers Monitoring and Workplace Incentives,5/4/2022,1,1,Uganda,0.0,Allocation,10/21/2022,pi1,Ritwika Sen
ASFNDS-19-10001: Asofondos for Promoting Long-term Savings in Colombia (Colombia),Asociacion Colombiana de Administradoras de Fondos y Cesantias,Grant Award,Promoting Long-term Savings in Colombia with Asofondos,5/24/2019,1,1,Colombia,0.0,,7/4/2019,pi1,Luz Magdalena Salas
ASFNDS-19-10001: Asofondos for Promoting Long-term Savings in Colombia (Colombia),Asociacion Colombiana de Administradoras de Fondos y Cesantias,Grant Award,Promoting Long-term Savings in Colombia with Asofondos,5/24/2019,1,1,Colombia,0.0,,7/4/2019,pi2,Alejandro Becerra
CNHF-21-10001: Co-generating Evidence to Improve the Impact of Temporary Working and Residence Permits for Mi (Colombia),Conrad N. Hilton Foundation,Grant Award,Promoting Migrant Registration to SISBEN (PMRS),3/17/2021,1,1,Colombia,0.0,Allocation,4/29/2021,pi1,Andrés Ham
CNHF-21-10001: Co-generating Evidence to Improve the Impact of Temporary Working and Residence Permits for Mi (Colombia),Conrad N. Hilton Foundation,Grant Award,Promoting Migrant Registration to SISBEN (PMRS),3/17/2021,1,1,Colombia,0.0,Allocation,4/29/2021,pi2,Ana María Rojas Méndez
CNHF-21-10001: Co-generating Evidence to Improve the Impact of Temporary Working and Residence Permits for Mi (Colombia),Conrad N. Hilton Foundation,Grant Award,Promoting Migrant Registration to SISBEN (PMRS),3/17/2021,1,1,Colombia,0.0,Allocation,4/29/2021,pi3,César Mantilla
NWU-21-10015 Promoting entrepreneurship among forced migrants (Peru),Northwestern University,Grant Award,Promoting entrepreneurship among forced migrants,12/21/2021,1,1,Peru,0.0,Allocation,12/21/2021,pi1,Dean Karlan
NWU-21-10015 Promoting entrepreneurship among forced migrants (Peru),Northwestern University,Grant Award,Promoting entrepreneurship among forced migrants,12/21/2021,1,1,Peru,0.0,Allocation,12/21/2021,pi2,Diego Santa Maria
ACRE-21-10001: Improving Agricultural Productivity and Resilience with Satellite and Cellphone Imagery to Scale Climate,Agriculture and Climate Risk Enterprise Ltd.,Grant Award,Promoting stress-tolerant crops using advisory services and reducing social gaps,1/15/2020,1,1,Kenya,0.0,Allocation,4/28/2021,pi1,Berber Kramer
ACRE-21-10001: Improving Agricultural Productivity and Resilience with Satellite and Cellphone Imagery to Scale Climate,Agriculture and Climate Risk Enterprise Ltd.,Grant Award,Promoting stress-tolerant crops using advisory services and reducing social gaps,1/15/2020,1,1,Kenya,0.0,Allocation,4/28/2021,pi2,Lilian Waithaka
MIT3945 MIT Proposal for Promoting the Adoption of New Rice Varieties - Costs of Early Adoption (NERICA)_Sierra Leone,Massachusetts Institute of Technology (MIT),Grant Award,Promoting the Adoption of New Rice Varieties - Costs of Early Adoption (NERICA),3/31/2014,1,1,Sierra Leone,0.0,,10/1/2015,pi1,Tavneet Suri
MIT3945 MIT Proposal for Promoting the Adoption of New Rice Varieties - Costs of Early Adoption (NERICA)_Sierra Leone,Massachusetts Institute of Technology (MIT),Grant Award,Promoting the Adoption of New Rice Varieties - Costs of Early Adoption (NERICA),3/31/2014,1,1,Sierra Leone,0.0,,10/1/2015,pi2,Frances Kimmins
MIT3945 MIT Proposal for Promoting the Adoption of New Rice Varieties - Costs of Early Adoption (NERICA)_Sierra Leone,Massachusetts Institute of Technology (MIT),Grant Award,Promoting the Adoption of New Rice Varieties - Costs of Early Adoption (NERICA),3/31/2014,1,1,Sierra Leone,0.0,,10/1/2015,pi3,Jeannie Annan
MIT3945 MIT Proposal for Promoting the Adoption of New Rice Varieties - Costs of Early Adoption (NERICA)_Sierra Leone,Massachusetts Institute of Technology (MIT),Grant Award,Promoting the Adoption of New Rice Varieties - Costs of Early Adoption (NERICA),3/31/2014,1,1,Sierra Leone,0.0,,10/1/2015,pi4,Rachel Glennerster
WBK-18-20004: Supervision of Impact Evaluation of Colombia Productiva (Colombia),World Bank,Grant Award,Promotion of the Export Market (PEM),10/24/2018,1,1,Colombia,0.0,,11/13/2018,pi1,Leonardo Iacovone
WBK-18-20004: Supervision of Impact Evaluation of Colombia Productiva (Colombia),World Bank,Grant Award,Promotion of the Export Market (PEM),10/24/2018,1,1,Colombia,0.0,,11/13/2018,pi2,Rachael Meager
WBK-18-20004: Supervision of Impact Evaluation of Colombia Productiva (Colombia),World Bank,Grant Award,Promotion of the Export Market (PEM),10/24/2018,1,1,Colombia,0.0,,11/13/2018,pi3,David McKenzie
CEDIL Proposal for Property Rights of Displaced Populations in Rakhine State,Centre of Excellence for Development Impact and Learning (CEDIL),Grant Proposal,Property Rights of Displaced Populations in Rakhine State,5/14/2019,0,1,Myanmar,0.0,,5/14/2019,pi1,Alexandra Hartman
CEDIL Proposal for Property Rights of Displaced Populations in Rakhine State,Centre of Excellence for Development Impact and Learning (CEDIL),Grant Proposal,Property Rights of Displaced Populations in Rakhine State,5/14/2019,0,1,Myanmar,0.0,,5/14/2019,pi2,"Kate Cronin-Furman 
PhD Alessandro Toppeta"
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,Protecting street-connected children from exploitation & forced labor in Lebanon,9/1/2020,1,1,,0.0,External Subaward,9/1/2020,pi1,Camilla Fabbri
UNHCR-21-10004: UNHCR: M&E sports program (Colombia),United Nations High Commissioner for Refugees (UNHCR),Grant Award,Protection and social cohesion through sports (PSCS),10/29/2021,1,1,Colombia,0.0,Allocation,10/29/2021,pi1,Shana Warren
Providing the optimal coaching scheme for the adoption of the best teaching practices,World Bank,Grant Proposal,Providing the optimal coaching scheme for the adoption of the best teaching prac,5/30/2018,0,1,Colombia,0.0,,5/30/2018,pi1,Olga Namen
DoL proposal,United States Department of Labor,Grant Proposal,Provision of information in illegal labor market in Colombia,9/16/2019,0,1,Colombia,0.0,,9/16/2019,pi1,Christopher Neilson
DoL proposal,United States Department of Labor,Grant Proposal,Provision of information in illegal labor market in Colombia,9/16/2019,0,1,Colombia,0.0,,9/16/2019,pi2,Maria Micaela Sviatschi
DoL proposal,United States Department of Labor,Grant Proposal,Provision of information in illegal labor market in Colombia,9/16/2019,0,1,Colombia,0.0,,9/16/2019,pi3,Hernando Zuleta
DoL proposal,United States Department of Labor,Grant Proposal,Provision of information in illegal labor market in Colombia,9/16/2019,0,1,Colombia,0.0,,9/16/2019,pi4,Oswaldo Molina
DoL proposal,United States Department of Labor,Grant Proposal,Provision of information in illegal labor market in Colombia,9/16/2019,0,1,Colombia,0.0,,9/16/2019,pi5,Roman Andres Zarate
DoL proposal,United States Department of Labor,Grant Proposal,Provision of information in illegal labor market in Colombia,9/16/2019,0,1,Colombia,0.0,,9/16/2019,pi6,Maria Del Pilar Lopez Uribe
"CCT, information & illegal labor market",United States Department of Labor,Grant Proposal,Provision of information in illegal labor market in Peru,9/16/2019,0,1,Peru,0.0,,9/16/2019,pi1,Christopher Neilson
IGC9454 The allocation of public services with limited state capacity (Zambia),International Growth Centre (IGC),Grant Award,Public Service Allocation,12/5/2016,1,1,Zambia,0.0,,12/15/2017,pi1,Torsten Walter
MIT-20-20031 Understanding School-Based Violence Networks in Ghana,Massachusetts Institute of Technology (MIT),Grant Award,Pupil?s Health and Life Experiences in School [PHLES],4/14/2019,1,1,Ghana,0.0,,1/14/2020,pi1,Sarah Kabay
MIT-20-20031 Understanding School-Based Violence Networks in Ghana,Massachusetts Institute of Technology (MIT),Grant Award,Pupil?s Health and Life Experiences in School [PHLES],4/14/2019,1,1,Ghana,0.0,,1/14/2020,pi2,Richard Akresh
MIT-20-20031 Understanding School-Based Violence Networks in Ghana,Massachusetts Institute of Technology (MIT),Grant Award,Pupil?s Health and Life Experiences in School [PHLES],4/14/2019,1,1,Ghana,0.0,,1/14/2020,pi3,Rebecca Thornton
BMG-20-10005 Evaluating New Deployments of L1P-aligned Payments Systems,Gates Foundation,Grant Award,QR Payments by micro and small merchants in Pakistan,8/14/2020,1,1,,0.0,External Subaward,11/5/2020,pi1,Kashif Zaheer Malik
BMG-20-10005 Evaluating New Deployments of L1P-aligned Payments Systems,Gates Foundation,Grant Award,QR Payments by micro and small merchants in Pakistan,8/14/2020,1,1,,0.0,External Subaward,11/5/2020,pi2,Farah Said
NORC-23-10002: Civil Justice Model - Qualitative Component (Mexico),NORC at the University of Chicago,Grant Award,Qualitative Analysis of the Implementation of the Civic Justice Model - Mexico,6/13/2022,1,1,Mexico,0.0,Allocation,1/4/2023,pi1,Rodrigo Canales
Improving Teaching and Early-Grade Learning in Ghana,Massachusetts Institute of Technology (MIT),Grant Proposal,Quality Coaching for Literacy and Numeracy (QCLN),10/31/2023,0,1,Ghana,0.0,Allocation,11/7/2023,pi1,Carol Scheffner
Improving Teaching and Early-Grade Learning in Ghana,Massachusetts Institute of Technology (MIT),Grant Proposal,Quality Coaching for Literacy and Numeracy (QCLN),10/31/2023,0,1,Ghana,0.0,Allocation,11/7/2023,pi2,Sharon Wolf
UBS9307 Preschool Quality,UBS Optimus Foundation,Grant Award,Quality Preschool for Ghana,11/25/2014,1,1,Ghana,0.0,,1/20/2015,pi1,Sharon Wolf
UBS9307 Preschool Quality,UBS Optimus Foundation,Grant Award,Quality Preschool for Ghana,11/25/2014,1,1,Ghana,0.0,,1/20/2015,pi2,John Lawrence Aber
UBS9307 Preschool Quality,UBS Optimus Foundation,Grant Award,Quality Preschool for Ghana,11/25/2014,1,1,Ghana,0.0,,1/20/2015,pi3,Jere Behrman
UBS9307 Preschool Quality,UBS Optimus Foundation,Grant Award,Quality Preschool for Ghana,11/25/2014,1,1,Ghana,0.0,,1/20/2015,pi4,Alice Wuermli
IGC-18-20002: Quality Upgrading in Myanmar's Rice Sector (Myanmar),International Growth Centre (IGC),Grant Award,Quality Upgrading in Myanmar's Rice Sector,10/30/2018,1,1,Myanmar,0.0,,6/10/2019,pi1,Rocco Macchiavello
IGC-18-20002: Quality Upgrading in Myanmar's Rice Sector (Myanmar),International Growth Centre (IGC),Grant Award,Quality Upgrading in Myanmar's Rice Sector,10/30/2018,1,1,Myanmar,0.0,,6/10/2019,pi2,Meredith Startz
IGC-18-20002: Quality Upgrading in Myanmar's Rice Sector (Myanmar),International Growth Centre (IGC),Grant Award,Quality Upgrading in Myanmar's Rice Sector,10/30/2018,1,1,Myanmar,0.0,,6/10/2019,pi3,David Atkin
IGC-18-20002: Quality Upgrading in Myanmar's Rice Sector (Myanmar),International Growth Centre (IGC),Grant Award,Quality Upgrading in Myanmar's Rice Sector,10/30/2018,1,1,Myanmar,0.0,,6/10/2019,pi4,Amit Khandelwal
UNCCH-19-10001 Community Score Cards in Kisumu (Kenya),"University of North Carolina, Chapel Hill",Grant Award,Quality of Family Planning Service Delivery in Western Kenya,3/11/2019,1,1,Kenya,0.0,Allocation,12/18/2019,pi1,Katherine Tumlinson
WBK-24-20167: Quantifying bias in self-reported measures of frontline worker misconduct,World Bank,Grant Award,Quantifying bias in self-reported measures of frontline worker misconduct,11/7/2023,1,1,Uganda,0.0,Allocation,1/10/2024,pi1,Xavier Gine
WBK-24-20167: Quantifying bias in self-reported measures of frontline worker misconduct,World Bank,Grant Award,Quantifying bias in self-reported measures of frontline worker misconduct,11/7/2023,1,1,Uganda,0.0,Allocation,1/10/2024,pi2,Abu S. Shonchoy
WBK-24-20167: Quantifying bias in self-reported measures of frontline worker misconduct,World Bank,Grant Award,Quantifying bias in self-reported measures of frontline worker misconduct,11/7/2023,1,1,Uganda,0.0,Allocation,1/10/2024,pi3,Tomoki Fujii
WBK-24-20167: Quantifying bias in self-reported measures of frontline worker misconduct,World Bank,Grant Award,Quantifying bias in self-reported measures of frontline worker misconduct,11/7/2023,1,1,Uganda,0.0,Allocation,1/10/2024,pi4,Francis Annan
DIV_Expanding the 'Quality Preschool for Ghana' Program to Rural Regions: Improving Kindergarten Quality Nationally,United States Agency for International Development (USAID),Grant Proposal,R-QP4G,7/28/2017,0,1,Ghana,0.0,,7/28/2017,pi1,Sharon Wolf
DIV_Expanding the 'Quality Preschool for Ghana' Program to Rural Regions: Improving Kindergarten Quality Nationally,United States Agency for International Development (USAID),Grant Proposal,R-QP4G,7/28/2017,0,1,Ghana,0.0,,7/28/2017,pi2,Jere Behrman
DIV_Expanding the 'Quality Preschool for Ghana' Program to Rural Regions: Improving Kindergarten Quality Nationally,United States Agency for International Development (USAID),Grant Proposal,R-QP4G,7/28/2017,0,1,Ghana,0.0,,7/28/2017,pi3,John Lawrence Aber
U.S. Department of State Proposal for RCI - Partnership Prevalence Study - Child protection,United States Department of State,Grant Proposal,RCI - Partnership Prevalence Study - Child protection,12/5/2022,0,1,Francophone West Africa,0.0,,12/12/2022,pi1,Cecilia Mo
P4T: Mentu RCT,Jacobs Foundation,Grant Proposal,RCT Mentu Artificial Intelligence and Student Learning in the Developing World,9/23/2024,0,1,Colombia,0.0,Allocation,9/23/2024,pi1,Juan Sebastián Muñoz-Morales
P4T: Mentu RCT,Jacobs Foundation,Grant Proposal,RCT Mentu Artificial Intelligence and Student Learning in the Developing World,9/23/2024,0,1,Colombia,0.0,Allocation,9/23/2024,pi2,Xinjie Zhang
P4T: Mentu RCT,Jacobs Foundation,Grant Proposal,RCT Mentu Artificial Intelligence and Student Learning in the Developing World,9/23/2024,0,1,Colombia,0.0,Allocation,9/23/2024,pi3,Felipe Barrera-Osorio
Digital Financial Inclusion: Building Resilience Against Scams,University of Essex,Grant Proposal,RCT on Phone Scams in Kenya,8/19/2022,0,1,Kenya,0.0,Allocation,8/19/2022,pi2,Lisa Spantig
Digital Financial Inclusion: Building Resilience Against Scams,University of Essex,Grant Proposal,RCT on Phone Scams in Kenya,8/19/2022,0,1,Kenya,0.0,Allocation,8/19/2022,pi3,Elif Kubilay
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,RCT on the Prevention of Human Trafficking in Tanzania,9/1/2020,1,1,Tanzania,0.0,Internal Subaward,9/1/2020,pi1,Sandra Morgenstern
BMG0015 CBEHPP Evaluation Supplement (Rwanda),Gates Foundation,Grant Award,REACH/CBHEPP Evaluation,5/12/2017,1,1,Rwanda,0.0,,5/12/2017,pi1,James Habyarimana
BMG0015 CBEHPP Evaluation Supplement (Rwanda),Gates Foundation,Grant Award,REACH/CBHEPP Evaluation,5/12/2017,1,1,Rwanda,0.0,,5/12/2017,pi2,Wolf-Peter Schmidt
BMG0015 CBEHPP Evaluation Supplement (Rwanda),Gates Foundation,Grant Award,REACH/CBHEPP Evaluation,5/12/2017,1,1,Rwanda,0.0,,5/12/2017,pi3,Jeanine Condo
BMG0015 CBEHPP Evaluation Supplement (Rwanda),Gates Foundation,Grant Award,REACH/CBHEPP Evaluation,5/12/2017,1,1,Rwanda,0.0,,5/12/2017,pi4,Sophie Boisson
BMG0015 CBEHPP Evaluation Supplement (Rwanda),Gates Foundation,Grant Award,REACH/CBHEPP Evaluation,5/12/2017,1,1,Rwanda,0.0,,5/12/2017,pi5,Thomas Clasen
BMG0015 CBEHPP Evaluation Supplement (Rwanda),Gates Foundation,Grant Award,REACH/CBHEPP Evaluation,5/12/2017,1,1,Rwanda,0.0,,5/12/2017,pi6,Karen Grépin
SCI0001: READ Save the Children (Bangladesh),Save the Children International (SCI),Grant Award,READ Save the Children,10/5/2016,1,1,Bangladesh,0.0,,11/29/2016,pi1,Atonu Rabbani
REB support IGI proposal,Massachusetts Institute of Technology (MIT),Grant Proposal,REB Technical Assistance - Embedded Lab,9/20/2019,0,1,Rwanda,0.0,,9/20/2019,pi1,Andrew Zeitlin
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,RECOVR Core Survey - Ivory Coast - WEL3338,5/15/2018,1,1,Francophone West Africa,0.0,Allocation,7/26/2018,pi1,Shana Warren
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,RECOVR Core Survey - Kenya - WEL3338,5/15/2018,1,1,Kenya,0.0,Allocation,7/26/2018,pi1,Shana Warren
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,RECOVR Core Survey - Mexico - WEL3338,5/15/2018,1,1,Mexico,0.0,Allocation,7/26/2018,pi1,Elliott Collins
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,RECOVR Core Survey - Mexico - WEL3338,5/15/2018,1,1,Mexico,0.0,Allocation,7/26/2018,pi2,Shana Warren
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,RECOVR Core Survey - Philippines - WEL3338,5/15/2018,1,1,Philippines,0.0,Allocation,7/26/2018,pi1,Shana Warren
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,RECOVR Core Survey - Zambia - WEL3338,5/15/2018,1,1,Zambia,0.0,Allocation,7/26/2018,pi1,Shana Warren
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,RECOVR Core Survey - Zambia - WEL3338,5/15/2018,1,1,Zambia,0.0,Allocation,7/26/2018,pi2,Doug Parkerson
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,RECOVR Core Survey - Zambia - WEL3338,5/15/2018,1,1,Zambia,0.0,Allocation,7/26/2018,pi3,Elliott Collins
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,RECOVR Core Survey Burkina Faso - UBS,5/15/2018,1,1,Francophone West Africa,0.0,Allocation,7/26/2018,pi1,Shana Warren
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,RECOVR Core Survey Burkina Faso - UBS,5/15/2018,1,1,Francophone West Africa,0.0,Allocation,7/26/2018,pi2,Doug Parkerson
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,RECOVR Core Survey Burkina Faso - UBS,5/15/2018,1,1,Francophone West Africa,0.0,Allocation,7/26/2018,pi3,Elliott Collins
BMG4464 - Gates ID OPP1114464 Financial Services for the Poor Research Fund_US,Gates Foundation,Grant Award,RECOVR Core Survey Global - BMG4464,4/9/2015,1,1,,0.0,Allocation,6/4/2015,pi2,Doug Parkerson
BMG4464 - Gates ID OPP1114464 Financial Services for the Poor Research Fund_US,Gates Foundation,Grant Award,RECOVR Core Survey Global - BMG4464,4/9/2015,1,1,,0.0,Allocation,6/4/2015,pi3,Shana Warren
BMG4464 - Gates ID OPP1114464 Financial Services for the Poor Research Fund_US,Gates Foundation,Grant Award,RECOVR Core Survey Global - BMG4464,4/9/2015,1,1,,0.0,Allocation,6/4/2015,pi4,Elliott Collins
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,RECOVR Core Survey Rwanda,5/15/2018,1,1,Rwanda,0.0,Allocation,7/26/2018,pi1,Shana Warren
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,RECOVR Core Survey Rwanda,5/15/2018,1,1,Rwanda,0.0,Allocation,7/26/2018,pi2,Doug Parkerson
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,RECOVR Core Survey Rwanda,5/15/2018,1,1,Rwanda,0.0,Allocation,7/26/2018,pi3,Elliott Collins
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,RECOVR Core Survey Sierra Leone,5/15/2018,1,1,Sierra Leone,0.0,Allocation,7/26/2018,pi1,Shana Warren
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,RECOVR Core Survey Sierra Leone,5/15/2018,1,1,Sierra Leone,0.0,Allocation,7/26/2018,pi2,Doug Parkerson
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,RECOVR Core Survey Sierra Leone,5/15/2018,1,1,Sierra Leone,0.0,Allocation,7/26/2018,pi3,Elliott Collins
BMG4464 - Gates ID OPP1114464 Financial Services for the Poor Research Fund_US,Gates Foundation,Grant Award,RECOVR Project- Surveys Bangladesh,4/9/2015,1,1,Bangladesh,0.0,Allocation,6/4/2015,pi2,Doug Parkerson
BMG4464 - Gates ID OPP1114464 Financial Services for the Poor Research Fund_US,Gates Foundation,Grant Award,RECOVR Project- Surveys Bangladesh,4/9/2015,1,1,Bangladesh,0.0,Allocation,6/4/2015,pi3,Shana Warren
UNOPS-20-10001: Access to Health Fund for RECOVR Survey (Myanmar),United Nations Office of Project Services (UNOPS),Grant Award,RECOVR Survey in Myanmar,9/14/2020,1,1,Myanmar,0.0,Allocation,12/24/2020,pi1,Shana Warren
UNOPS-20-10001: Access to Health Fund for RECOVR Survey (Myanmar),United Nations Office of Project Services (UNOPS),Grant Award,RECOVR Survey in Myanmar,9/14/2020,1,1,Myanmar,0.0,Allocation,12/24/2020,pi2,Doug Parkerson
UNOPS-20-10001: Access to Health Fund for RECOVR Survey (Myanmar),United Nations Office of Project Services (UNOPS),Grant Award,RECOVR Survey in Myanmar,9/14/2020,1,1,Myanmar,0.0,Allocation,12/24/2020,pi3,Elliott Collins
UNHCR-20-10001: RECOVR with UNHCR (Mexico and Costa Rica),United Nations High Commissioner for Refugees (UNHCR),Grant Award,RECOVR with UNHCR (Mexico and Costa Rica),9/21/2020,1,1,Mexico,0.0,Allocation,12/28/2020,pi1,Theresa Beltramo
Reducing Default and Improving Resilience on Digital Credit (Kenya),"University of California, Berkeley",Grant Proposal,REDUCING DEFAULT AND IMPROVING RESILIENCE ON DIGITAL CREDIT,9/15/2017,1,1,Kenya,0.0,,9/15/2017,pi1,Tavneet Suri
Increasing PrEP Retention and Adherence among Female Sex Workers in Tanzania (subaward),"University of California, Berkeley",Grant Proposal,RESPECT II,9/9/2019,0,1,Tanzania,0.0,,9/9/2019,pi1,William Dow
Increasing PrEP Retention and Adherence among Female Sex Workers in Tanzania (subaward),"University of California, Berkeley",Grant Proposal,RESPECT II,9/9/2019,0,1,Tanzania,0.0,,9/9/2019,pi2,Laura Packel
Increasing PrEP Retention and Adherence among Female Sex Workers in Tanzania (subaward),"University of California, Berkeley",Grant Proposal,RESPECT II,9/9/2019,0,1,Tanzania,0.0,,9/9/2019,pi3,Marianna Balampama
Increasing PrEP Retention and Adherence among Female Sex Workers in Tanzania (subaward),"University of California, Berkeley",Grant Proposal,RESPECT II,9/9/2019,0,1,Tanzania,0.0,,9/9/2019,pi4,Damien de Walque
SCI-22-10010: BHA IMPEL for RFSA Mozambique (Kenya Office),Save the Children International (SCI),Grant Award,RFSA in Mozambique,9/22/2022,1,1,,0.0,Allocation,9/22/2022,pi1,Lasse Brune
SCI-22-10010: BHA IMPEL for RFSA Mozambique (Kenya Office),Save the Children International (SCI),Grant Award,RFSA in Mozambique,9/22/2022,1,1,,0.0,Allocation,9/22/2022,pi2,Doug Parkerson
SCI-22-10010: BHA IMPEL for RFSA Mozambique (Kenya Office),Save the Children International (SCI),Grant Award,RFSA in Mozambique,9/22/2022,1,1,,0.0,Allocation,9/22/2022,pi3,Emily Beam
SCI-22-10010: BHA IMPEL for RFSA Mozambique (Kenya Office),Save the Children International (SCI),Grant Award,RFSA in Mozambique,9/22/2022,1,1,,0.0,Allocation,9/22/2022,pi4,Craig McIntosh
GWL-25-10003 Impact of a village-based livelihoods programme in rural Uganda on IPV 5Yr Followup (Uganda),GiveWell,Grant Award,RTV 5Yr Follow-up,8/8/2024,1,1,Uganda,0.0,Allocation,6/16/2025,pi1,Emma Riley
USAID - DIV: Raising The Villages (RTV),United States Agency for International Development (USAID),Grant Proposal,Raising The Villages (RTV),2/10/2022,0,1,Uganda,0.0,,2/11/2022,pi1,Emma Riley
USAID - DIV: Raising The Villages (RTV),United States Agency for International Development (USAID),Grant Proposal,Raising The Villages (RTV),2/10/2022,0,1,Uganda,0.0,,2/11/2022,pi2,Mahreen Mahmud
Raising the Village Pathways out of Ultra-Poverty,Raising The Village,Grant Proposal,Raising the Village Pathways out of Ultra-Poverty,3/5/2024,0,1,Uganda,0.0,Allocation,3/5/2024,pi1,Emma Riley
OSF-19-10002 Peace & Recovery Competitive Fund on Homicide in Latin America,Open Society Foundations,Grant Award,Randomized impact evaluation of a CBT intervention (Sagaz) for at-risk youth,11/15/2018,1,1,,0.0,External Subaward,7/11/2019,pi1,Juliana Camargo
UNDP Rapid Data and Policy Support on COVID-19 in Bangladesh,United Nations Development Program (UNDP),Grant Proposal,Rapid Data and Policy Support on COVID-19 in Bangladesh,4/28/2020,0,1,Bangladesh,0.0,,4/28/2020,pi1,Mushfiq Mobarak
UNDP Rapid Data and Policy Support on COVID-19 in Bangladesh,United Nations Development Program (UNDP),Grant Proposal,Rapid Data and Policy Support on COVID-19 in Bangladesh,4/28/2020,0,1,Bangladesh,0.0,,4/28/2020,pi2,C. Austin Davis
UNDP Rapid Data and Policy Support on COVID-19 in Bangladesh,United Nations Development Program (UNDP),Grant Proposal,Rapid Data and Policy Support on COVID-19 in Bangladesh,4/28/2020,0,1,Bangladesh,0.0,,4/28/2020,pi3,Paula Lopez-Pena
i2i-19-10001: i2i Rwanda SMS PPI (Rwanda),i2i Facility,Grant Award,RapidSMS Rwanda,12/1/2019,1,1,Rwanda,0.0,,10/18/2019,pi1,Karen Grépin
i2i-19-10001: i2i Rwanda SMS PPI (Rwanda),i2i Facility,Grant Award,RapidSMS Rwanda,12/1/2019,1,1,Rwanda,0.0,,10/18/2019,pi2,Michael Law
USA-21-10006 DIV funding for Real Man Challenge (Peru),United States Agency for International Development (USAID),Grant Award,Real Man Challenge Peru,3/30/2021,1,1,Peru,0.0,Allocation,9/13/2021,pi1,Christopher Boyer
USA-21-10006 DIV funding for Real Man Challenge (Peru),United States Agency for International Development (USAID),Grant Award,Real Man Challenge Peru,3/30/2021,1,1,Peru,0.0,Allocation,9/13/2021,pi2,Erica Field
CAF Proposal for Rebuilding Trust for Financial Inclusion,CAF ? Development Bank of Latin America,Grant Proposal,Rebuilding Trust for Financial Inclusion,6/19/2016,0,1,Colombia,0.0,,6/19/2016,pi1,Matthew Bird
CAF Proposal for Rebuilding Trust for Financial Inclusion,CAF ? Development Bank of Latin America,Grant Proposal,Rebuilding Trust for Financial Inclusion,6/19/2016,0,1,Colombia,0.0,,6/19/2016,pi2,Carlos Parra
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,Rebuilding the Social-Cohesion of Return Migrants in Post-Conflict Mozambique,4/29/2022,1,1,Kenya,1.0,External Subaward,11/18/2022,pi1,Henrique Pita Barros
GLM: Recruitment constraints (Ivory Coast),United Kingdom Department for International Development (DFID),Grant Proposal,Recruitment Constraints for Formal Private Firms,10/15/2017,0,1,Francophone West Africa,0.0,,10/16/2017,pi1,Alicia Marguerie
GLM: Recruitment constraints (Ivory Coast),United Kingdom Department for International Development (DFID),Grant Proposal,Recruitment Constraints for Formal Private Firms,10/15/2017,0,1,Francophone West Africa,0.0,,10/16/2017,pi2,PhD Aishwarya Ben Dhia
