Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,pi1,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi2,pi3,pi4,pi5,pi6,pi7,pi8,pi9,pi10,pi11,pi12,pi13,pi14
CDCG-18-10000: Employee Welfare Survey for Garment Operators at Ananta Textiles (Bangladesh),CDC Group,Grant Award,Employee Welfare Survey for garment operators at Ananta Textiles.,Christopher Woodruff,7/1/2018,1,1,Bangladesh,0.0,,7/28/2018,,,,,,,,,,,,,
Lyle Spencer Proposal for Learning Crisis,Spencer Foundation,Grant Proposal,SEME - Learning Crisis,Kaja Jasinska,7/17/2019,0,1,Francophone West Africa,0.0,,7/17/2019,Sharon Wolf,,,,,,,,,,,,
MSU-19-10001: NSF Prime for Community risk sharing project (Bangladesh),Michigan State University,Grant Award,Community risk-sharing and private investment in preventive health,Prabhat Barnwal,8/21/2019,1,1,Bangladesh,0.0,Allocation,8/21/2019,Lex van Geen,,,,,,,,,,,,
UNDP Mindanao Normalization Project,United Nations Development Program (UNDP),Grant Proposal,UNDP Mindanao Normalization Project,,7/13/2018,0,1,Philippines,0.0,,7/13/2018,,,,,,,,,,,,,
Cardno-18-10002: L&D System Trial Baseline Study (Philippines),Cardno Emerging Markets,Grant Award,BEST Activities Evaluation,Emily Beam,10/26/2018,1,1,Philippines,0.0,,2/28/2019,,,,,,,,,,,,,
ACIAR Proposal for Inclusive Agricultural Value Chain Financing,Australian Centre for International Agricultural Research,Grant Proposal,Inclusive Agricultural Value Chain Financing,Russell Toth,8/4/2018,0,1,Myanmar,0.0,,8/4/2018,Alan de Brauw,,,,,,,,,,,,
New Proposal for Inclusive Growth and Accountability in the Extractives Sector,International Growth Centre (IGC),Grant Proposal,Inclusive Growth and Accountability in the Extractives Sector,Renard Sexton,7/15/2018,0,1,Myanmar,0.0,,8/4/2018,,,,,,,,,,,,,
Pluspetrol,Pluspetrol,Grant Award,SMS Summer Loss Peru,Andrew Dustan,8/3/2018,1,1,Peru,0.0,,8/3/2018,Stanislao Maldonado,,,,,,,,,,,,
CMIS Proposal to The Access to Health Fund with PSI,Population Services International,Grant Proposal,CMIS Impact Evaluation in Myanmar,Russell Toth,8/13/2018,0,1,Myanmar,0.0,,8/13/2018,,,,,,,,,,,,,
Proposal for NEDA-UNDP Strategic M&E Project,United Nations Development Program (UNDP),Grant Proposal,NEDA-UNDP Strategic M&E Project,,8/31/2018,0,1,Philippines,0.0,,8/13/2018,,,,,,,,,,,,,
World Bank proposal for SME survey,World Bank,Grant Proposal,Survey of Micro-enterprises and Informal Businesses,,2/25/2019,0,1,Zambia,0.0,,2/20/2019,,,,,,,,,,,,,
SESAME-19-10003 Focus Group Discussions with Rohingya Caregivers (Bangladesh),Sesame Workshop,Grant Award,Sesame Workshop Project Activities,,10/28/2019,1,1,Bangladesh,0.0,,12/22/2019,,,,,,,,,,,,,
Orange Pico-Credit proposal to PSE,Paris School of Economics,Grant Proposal,Orange Pico-Credit,,3/1/2019,0,1,Francophone West Africa,0.0,,3/1/2019,Victor Pouliquen,,,,,,,,,,,,
SPaR,World Bank,Grant Proposal,SPaR,,2/28/2019,0,1,Rwanda,0.0,,2/27/2019,,,,,,,,,,,,,
JPAL IGI Proposal for ICBF Innovation Unit,Massachusetts Institute of Technology (MIT),Grant Proposal,ICBF Innovation Unit,Raquel Bernal,9/20/2019,0,1,Colombia,0.0,,9/20/2019,Andres Moya,Jorge Cuartas,Orazio Attanasio,Dana McCoy,,,,,,,,,
PGN-19-10001: Procuraduría General de la Nación Innovation Unit (Colombia),Procuraduría General de la Nación,Grant Award,Procuraduría General de la Nación Innovation Unit,,9/16/2019,1,1,Colombia,0.0,,10/21/2019,,,,,,,,,,,,,
Impact of incentives on antimalarials and diagnostics,"University of California, Berkeley",Grant Proposal,Impact of incentives on antimalarials and diagnostics,Paul Gertler,3/6/2019,0,1,Kenya,0.0,,3/15/2019,,,,,,,,,,,,,
MIT-19-20018 Technology and Citizen Engagement in Local Tax Collection: Evidence from Ghana,Massachusetts Institute of Technology (MIT),Grant Award,Citizen Engagement and Local Tax Collection (CETC),David Lagakos,3/22/2019,1,1,Ghana,0.0,,8/2/2019,Anders Jensen,Karthik Muralidharan,,,,,,,,,,,
CVI: Effects of soft skills on IPV through better choices,Massachusetts Institute of Technology (MIT),Grant Proposal,Educate! Follow-Up study,Laura Chioda,3/14/2018,0,1,Uganda,0.0,,3/16/2018,Paul Gertler,,,,,,,,,,,,
Putting Data to Work: Machine Learning and Analytics Unit,Tinker Foundation,Grant Proposal,Machine learning with MINEDU,,3/15/2019,0,1,Peru,0.0,,3/15/2019,,,,,,,,,,,,,
PEDL - Exploratory Research Grant,Private Enterprise Development for Low-Income Countries (PEDL),Grant Proposal,Making Missing Markets Materialize,Jonathan Robinson,3/31/2020,0,1,Sierra Leone,0.0,,3/31/2020,,,,,,,,,,,,,
"MIT-19-20028: CVI RCT project, Liberia",Massachusetts Institute of Technology (MIT),Grant Award,IPV Red Cross,David Sungho Park,5/23/2019,1,1,Sierra Leone,0.0,Allocation,11/25/2019,,,,,,,,,,,,,
ESR-19-10001: Preparing women for leadership positions in garment factories (Bangladesh),Economic and Social Research Council (ESRC),Grant Award,ECI Early Career Intervention,Christopher Woodruff,7/8/2019,1,1,Bangladesh,0.0,,10/30/2019,,,,,,,,,,,,,
First Steps Proposal,Save the Children International (SCI),Grant Proposal,First Steps,Todd Pugatch,3/21/2019,0,1,Rwanda,0.0,,3/21/2019,,,,,,,,,,,,,
New Proposal for UNDP ECCD Formative Evaluation,United Nations Development Program (UNDP),Grant Proposal,UNDP ECCD Formative Evaluation,,3/1/2019,0,1,Philippines,0.0,,3/1/2019,,,,,,,,,,,,,
Save The Children exploratory study on Child Marriage and Education,Save the Children International (SCI),Grant Proposal,Child Marriage and Girls' Education,,4/1/2019,0,1,Francophone West Africa,0.0,,4/1/2019,,,,,,,,,,,,,
Evaluating Uganda Revenue Authority's tax education,Massachusetts Institute of Technology (MIT),Grant Proposal,URA tax education project,Frederico Finan,3/22/2019,0,1,Uganda,0.0,,3/22/2019,Isabelle Cohen,,,,,,,,,,,,
MIT-19-20030 - Kumwe Harvest ATAI (Rwanda),Massachusetts Institute of Technology (MIT),Grant Award,Farmer Coop Value Chain Strengthening Project,Susan Godlonton,10/3/2019,1,1,Rwanda,0.0,Allocation,11/17/2020,Jonathan Robinson,Shilpa Aggarwal,Alan Spearot,,,,,,,,,,
MIT-19-20016: GI Using Social Media to Guard the Ballots (Colombia),Massachusetts Institute of Technology (MIT),Grant Award,Using Social Media to Guard the Ballots,Mateo Montenegro,3/22/2019,1,1,Colombia,0.0,,7/18/2019,"Esther Duflo 
PhD Natalia Garbiras",,,,,,,,,,,,
BMG4464 - Gates ID OPP1114464 Financial Services for the Poor Research Fund_US,Gates Foundation,Grant Award,Debt Traps in Myanmar - Exploratory Research,Dean Karlan,4/9/2015,1,1,Myanmar,0.0,Allocation,6/4/2015,Benjamin Roth,,,,,,,,,,,,
WEL3233 - IPV Initiative Phase 2 ? Expanding the Evidence Base and Advancing Pilots Along the Path to Scale.,Wellspring Philanthropic Fund,Grant Award,Becoming One,Jeannie Annan,2/13/2018,1,1,Uganda,0.0,Allocation,6/18/2018,,,,,,,,,,,,,
IDB-19-10004: Air pollution IDB (Mexico),Inter-American Development Bank (IDB),Grant Award,Air pollution IDB,Rema Hanna,1/11/2019,1,1,Mexico,0.0,,4/23/2019,,,,,,,,,,,,,
In-School Child Violence Scoping Study Ghana,Sexual Violence Research Initiative,Grant Proposal,In-School Child Protection,Rebecca Thornton,9/5/2018,0,1,Ghana,0.0,,9/5/2018,Slawa Rokicki,,,,,,,,,,,,
FIP Proposal to CGAP Financial Health in the Arab World: Gender Diagnostic on Social Norms,World Bank,Grant Proposal,CGAP FIP Project in Turkey,,8/29/2018,0,1,,0.0,,8/29/2018,,,,,,,,,,,,,
UNP-18-10002: Evaluation of the National Nutrition Program (Philippines),United Nations Development Program (UNDP),Grant Award,UNDP National Nutrition Program,Peter C Rockers,11/9/2018,1,1,Philippines,0.0,,1/8/2019,,,,,,,,,,,,,
IDB-18-10003: Evaluación de impacto experimental del programa STEM en hogares comunitarios en Cali (Colombia),Inter-American Development Bank (IDB),Grant Award,Encouraging STEM Education Among Girls in Cali,Emma Ingrid Naslund-Hadley,10/12/2018,1,1,Colombia,0.0,,3/30/2019,Juan Manuel Hernández-Agramonte,,,,,,,,,,,,
Bancamia-19-10001: Measuring Global Financial Health in Colombia and the DR (Colombia),Bancamia,Grant Award,Measuring Global Financial Health in Colombia and the DR,Dean Karlan,1/2/2019,1,1,Colombia,0.0,,1/2/2019,Lasse Brune,,,,,,,,,,,,
APO-18-10001: Evidence management in Aporta (Peru),Aporta Desarrollo Sostenible,Grant Award,Evidence management in Aporta,,8/31/2018,1,1,Peru,0.0,,11/14/2018,,,,,,,,,,,,,
CEDIL Proposal for Using technology to address the illicit flow of low-quality medicines in Myanmar,Centre of Excellence for Development Impact and Learning (CEDIL),Grant Proposal,Illegal trafficking of medicines in Myanmar,Elisa Maffioli,5/14/2019,0,1,Myanmar,0.0,,5/14/2019,,,,,,,,,,,,,
Sabre Education RFE (Ghana),World Bank,Grant Proposal,Sabre Education nimble RCT / RFE support,,8/27/2018,0,1,Ghana,0.0,,5/30/2018,Loic Watine,Sharon Wolf,,,,,,,,,,,
UWM-19-10001 Air Pollution Human Capital and Cognition,University of Wisconsin-Madison,Grant Award,Air pollution human capital and cognition,Emilia Tjernström,9/21/2018,1,1,Kenya,0.0,Allocation,7/23/2019,,,,,,,,,,,,,
WEL5233 Commitment Savings (Kenya) and Socio-Emotional Skills Study (Global),Wellspring Philanthropic Fund,Grant Award,Socio-Emotional Skills,Clara Delavallade,7/14/2014,1,1,Tanzania,0.0,,10/24/2014,Rachel Cassidy,,,,,,,,,,,,
NORC-19-10001 Regulatory Technology and Customer-Centric Financial Services in Resource-Poor Environments - Honduras,NORC at the University of Chicago,Grant Award,RegTech in Honduras,,3/15/2019,1,1,LAC-Other,0.0,,3/15/2019,,,,,,,,,,,,,
Proposal for Scaling native species reforestation to promote sustainable development,,Grant Proposal,Scaling native species reforestation to promote sustainable development,Santiago Saavedra Pineda,9/27/2018,0,1,Colombia,0.0,,9/27/2018,,,,,,,,,,,,,
New Proposal for Pioneer-PHINMA Student Microinsurance,CARD Pioneer Microinsurance Inc.,Grant Proposal,Pioneer-PHINMA Student Microinsurance,,9/25/2018,0,1,Philippines,0.0,,10/1/2018,,,,,,,,,,,,,
RFUS-18-10001: Metaketa Amazon (Peru),Rainforest Foundation US,Grant Award,Metaketa Amazon,Jacob Kopas,9/8/2018,1,1,Peru,0.0,,3/22/2019,,,,,,,,,,,,,
NWU-19-10004 Northwestern/Weiss Sub-Award for GEP,Northwestern University,Grant Award,Gender and Educational Perceptions (GEP),Christopher Udry,10/16/2019,1,1,Ghana,0.0,,10/16/2019,PhD Ashley Wong,Francesca Truffa,,,,,,,,,,,
"MIT-20-20034 (DFID Prime) Effect of Inf. on Bargaining, Corruption & Trade: Evidence from Small Agriculture Traders",Massachusetts Institute of Technology (MIT),Grant Award,Trade Barriers Project,Eleanor Wiseman,10/2/2018,1,1,Kenya,0.0,Allocation,4/3/2020,,,,,,,,,,,,,
Time To Teach,United Nations Children's Fund (UNICEF),Grant Proposal,Time to Teach,,10/4/2018,0,1,Ghana,0.0,,10/4/2018,,,,,,,,,,,,,
MU-18-10001 Makerere School Fee Loans (Uganda),Makerere University,Grant Award,Fenix Solar School Fee Loans,Catherine Wolfram,11/29/2018,1,1,Uganda,0.0,,11/30/2018,Brett Green,Paul Gertler,Derek Wolfson,,,,,,,,,,
Give Directly Evaluation Endline,Princeton University,Grant Proposal,Give Directly Evaluation Endline,Johannes Haushofer,8/10/2018,0,1,Kenya,0.0,,10/8/2018,,,,,,,,,,,,,
Increasing Immunization Coverage and Equity through Digitally-Empowered Community Health Workers in Kenya and Uganda,Living Goods,Grant Proposal,Increasing Immunization Coverage in Kenya,,10/16/2018,0,1,Kenya,0.0,,10/16/2018,Edward Komakech,Paul Gertler,,,,,,,,,,,
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Improving Community Acceptance of Returnees from Boko Haram,Graeme Blair,9/28/2015,1,1,,1.0,Internal Subaward,4/9/2018,Rebecca Wolfe,Rebecca Littman,,,,,,,,,,,
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Overcoming the Trust Deficit,Salma Mousa,9/28/2015,1,1,,1.0,External Subaward,4/9/2018,,,,,,,,,,,,,
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Syrian Refugee Life Study,Ted Miguel,9/28/2015,1,1,,1.0,External Subaward,4/9/2018,Emma Smith,Samuel Leone,Sandra Rozo,,,,,,,,,,
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Fostering Empathy in the Classroom,Sule Alan,9/28/2015,1,1,,1.0,External Subaward,4/9/2018,Ceren Baysan,Elif Kubilay,,,,,,,,,,,
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,What drives individuals to join armed organizations?,Raul Sanchez de la Sierra,9/28/2015,1,1,,1.0,External Subaward,4/9/2018,Hilary Yu,,,,,,,,,,,,
Increasing Immunization Coverage and Equity through Digitally-Empowered Community Health Workers in Kenya and Uganda,Living Goods,Grant Proposal,Increasing Immunization Coverage in Uganda,,10/16/2018,0,1,Uganda,0.0,,10/16/2018,Edward Komakech,Paul Gertler,,,,,,,,,,,
WB Proposal for Malawi GAFSP PrSW Evaluation Baseline # 1259493,World Bank,Grant Proposal,WB Malawi GAFSP PrSW Evaluation Baseline,,11/18/2018,0,1,Malawi,0.0,,10/23/2018,,,,,,,,,,,,,
New Proposal for G2 Prison,G2,Grant Proposal,G2 Prison,Dean Karlan,1/22/2019,0,1,Peru,0.0,,1/22/2019,,,,,,,,,,,,,
UCB-19-20006: Colmados UCB Project Development Contribution (Dominican Republic),"University of California, Berkeley",Grant Award,Digital Sales and Inventory Data to Assess Creditworthiness of Microenterprises,Sean Higgins,9/6/2019,1,1,LAC-Other,0.0,,9/6/2019,Waldo Ojeda,,,,,,,,,,,,
Proposal for M&E support to CMMC,,Grant Proposal,M&E support to CMMC,,10/12/2018,0,1,Colombia,0.0,,10/12/2018,,,,,,,,,,,,,
BMG4464 - Gates ID OPP1114464 Financial Services for the Poor Research Fund_US,Gates Foundation,Grant Award,Pilots to increase productivity and empowerment impacts of remittances,Elizaveta Perova,4/9/2015,1,1,,1.0,Internal Subaward,6/4/2015,Arndt Rudiger Reichert,Alexander Spevack,Xavier Gine,,,,,,,,,,
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Fear-Based Rhetoric and Anti-Muslim Violence in Myanmar - Exploratory Study,Megan Ryan,9/28/2015,1,1,Myanmar,0.0,Internal Subaward,4/9/2018,,,,,,,,,,,,,
SES,Nesta,Grant Proposal,Socio-emotional skills for youth employment in Côte d'Ivoire,Clara Delavallade,10/29/2018,0,1,Francophone West Africa,0.0,,10/29/2018,Markus Goldstein,Estelle Koussoube,,,,,,,,,,,
P&R Proposal for Global Questions on Forced Displacement and Jobs,World Bank,Grant Proposal,WB P&R Forced Displacement Project,,11/1/2018,0,1,,0.0,,8/24/2018,,,,,,,,,,,,,
AES-18-10001: Evidence Unit within Ghana?s Ministry of Education,AESTUS Foundation,Grant Award,Embedded Evidence Lab - Ghana Education,,9/12/2018,1,1,Ghana,0.0,,2/14/2019,,,,,,,,,,,,,
"ORA-18-10001: CompStat:  Building Effective, Resilient and Trusted Police Organizations in Mexico",Open Road Alliance,Grant Award,Embedded Evidence Lab - Mexico Security,Rodrigo Canales,8/20/2018,1,1,Mexico,0.0,,9/11/2018,,,,,,,,,,,,,
New Proposal for DSWD SLP Evaluation,"Department of Social Welfare and Development, Philippines",Grant Proposal,DSWD SLP Evaluation,,10/30/2018,0,1,Philippines,0.0,,10/31/2018,,,,,,,,,,,,,
UNP-19-10003: Evaluation of PAMANA Program (Philippines),United Nations Development Program (UNDP),Grant Award,Evaluation of PAMANA Program,Dotan Haim,11/12/2018,1,1,Philippines,0.0,,1/16/2019,Renard Sexton,"Yuhki Tajima 
PhD Megan Ryan",Marjorie Breslawski,Maria Carmen Fernandez,,,,,,,,,
BAIL-18-10001 - Bail Project Subaward (USA),The Bail Project,Grant Award,Planning The Bail Project Evaluation,Dean Karlan,8/24/2018,1,1,,0.0,,11/9/2018,James J Prescott,Jonathan Zinman,,,,,,,,,,,
IGC-18-20005: Female Managers and Worker Well-Being in the Bangladeshi Garment Sector (Bangladesh),International Growth Centre (IGC),Grant Award,Female managers and worker well-being in the Bangladeshi garment sector.,Christopher Woodruff,11/14/2018,1,1,Bangladesh,0.0,,7/24/2019,,,,,,,,,,,,,
IPA Zambia Proposal to ECF,Eleanor Crook Foundation (ECF),Grant Proposal,ECF Evidence Action Project in Zambia,Gunther Fink,11/26/2018,0,1,Zambia,0.0,,11/26/2018,Doug Parkerson,Peter C Rockers,,,,,,,,,,,
GIZ-18-10001: WASH (Peru),Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Grant Award,WASH Peru,Paul Gertler,11/25/2018,1,1,Peru,0.0,,12/26/2018,,,,,,,,,,,,,
WZB-18-10002 - Developing Kampala?s Citizen Charter (Uganda),WZB Berlin Social Science Center,Grant Award,KCCA Citizen Charter,Macartan Humphreys,11/23/2018,1,1,Uganda,0.0,,11/23/2018,Ana Garcia Hernandez,Constantin Manuel Bosancianu,,,,,,,,,,,
Proposal for Environmental Migration in Kenya,ETH Zurich,Grant Proposal,Environmental Migration in Kenya,Vally Koubi,11/28/2018,0,1,Kenya,0.0,,11/30/2018,,,,,,,,,,,,,
NSF - Reducing Prejudice Against Refugees,National Science Foundation (NSF),Grant Proposal,Reducing Prejudice Against Refugees,Janet Lewis,1/12/2020,0,1,Uganda,0.0,,1/15/2020,Jennifer Larson,,,,,,,,,,,,
GAIN Proposal: Impact Evaluation of Nourishing Dreams Project (Bangladesh),Global Alliance for Improved Nutrition (GAIN),Grant Proposal,Impact evaluation of Nourshing Dreams,Andrew Dillon,11/30/2018,0,1,Bangladesh,0.0,,11/30/2018,Priya Mukherjee,,,,,,,,,,,,
DFI-19-10001: YES4Growth Remedial Education Intervention (Bangladesh),United Kingdom Department for International Development (DFID),Grant Award,Remedial Education Intervention in Bangladesh,Emily Beam,10/28/2018,1,1,Bangladesh,0.0,,4/2/2019,Priya Mukherjee,,,,,,,,,,,,
UOM-19-10001 Human Capital Deficits Labour Market Frictions (Bangladesh),University of Minnesota,Grant Award,Human Capital Deficits Labour Market Frictions,Munseob Lee,11/12/2019,1,1,Bangladesh,0.0,Allocation,11/12/2019,Claudia Macaluso,,,,,,,,,,,,
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Otherization and Integration in the Rohingya Refugee Camps,Reshmaan Hussam,9/28/2015,1,1,Bangladesh,0.0,Internal Subaward,4/9/2018,Erin Kelley,Gregory Lane,,,,,,,,,,,
WBK-18-20011: Air Pollution and Labor Productivity in Dhaka (Bangladesh),World Bank,Grant Award,Air pollution and labor productivity,Teevrat Garg,12/2/2018,1,1,Bangladesh,0.0,,6/12/2019,,,,,,,,,,,,,
Effects of information on secondary school attendance,"University of California, Berkeley",Grant Proposal,Effects of information on secondary school attendance,Stephanie Bonds,11/30/2018,0,1,Kenya,0.0,,12/3/2018,,,,,,,,,,,,,
SPARK GI application,Massachusetts Institute of Technology (MIT),Grant Proposal,SPARK MicroGrants evaluation,James Habyarimana,9/20/2019,0,1,Rwanda,0.0,,9/20/2019,,,,,,,,,,,,,
MCF-18-10001 Learning Partner for Mastercard Foundation in Kenya,Mastercard Foundation,Grant Award,Learning partner for Mastercard Foundation in Kenya,,12/6/2018,1,1,Kenya,0.0,,12/18/2018,,,,,,,,,,,,,
OSNA-19-10003 - Grant Agreement funding for CHIMPS 2- Follow up  (Uganda),University of Osnabruck,Grant Award,CHIMPS II / PES II,Tobias Vorlaufer,9/16/2019,1,1,Uganda,0.0,,9/16/2019,Joost De Laat,,,,,,,,,,,,
UNP-18-10001: Philippines Department of Education M&E Workshop (Philippines),United Nations Development Program (UNDP),Grant Award,UNDP DepEd M&E Workshop,,12/5/2018,1,1,Philippines,0.0,,12/14/2018,,,,,,,,,,,,,
"NWU-19-10001 - Impact of Graduation Model on Returns to Capital for Ultra-poor in Northern Ghana, Ghana",Northwestern University,Grant Award,Returns to Capital for the Ultra Poor (RCUP),Christopher Udry,1/21/2019,1,1,Ghana,0.0,,1/29/2019,"Dean Karlan 
PhD Nathan Barker",,,,,,,,,,,,
Coschool-19-10001: Asesoría y acompañamiento en monitoreo y evaluación para Coschool (Colombia),Coschool,Grant Award,Coschool M&E Strategy,Olga Namen,12/13/2018,1,1,Colombia,0.0,,10/14/2019,,,,,,,,,,,,,
PRIO-19-10001: Improving education for Rohingya refugees from Myanmar living in Bangladesh (Bangladesh),Peace Research Institute Oslo,Grant Award,Improving education for Rohingya refugees from Myanmar living in Bangladesh (Edu,Gudrun Ostby,1/23/2019,1,1,Bangladesh,0.0,Allocation,1/23/2019,,,,,,,,,,,,,
