Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,pi1,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi2,pi3,pi4,pi5,pi6,pi7,pi8,pi9,pi10,pi11,pi12,pi13,pi14
Innovation Growth Lab (IGL),Ewing Marion Kauffman Foundation,Grant Proposal,Credit vs Budget Training-Tracking,Matthew Bird,10/19/2015,0,1,Peru,0.0,,10/19/2015,Alberto Chong,,,,,,,,,,,,
IGC1305 Small Grant for Payroll Project,International Growth Centre (IGC),Grant Award,Payroll Project,Nava Ashraf,7/23/2015,1,1,Zambia,0.0,,1/10/2016,Oriana Bandiera,"Kelsey Jack 
PhD Torsten Walter",,,,,,,,,,,
IGC1306 IGC Small Grants for Decentralization Project,International Growth Centre (IGC),Grant Award,Decentralization Project,Nava Ashraf,7/23/2015,1,1,Zambia,0.0,,2/10/2016,Oriana Bandiera,,,,,,,,,,,,
CWM0681 Political Economy of Rural Electrification AidData (Kenya),The College of William and Mary,Grant Award,Decentralization and targeting of rural electrification in Kenya,Michael Walker,1/30/2015,1,1,Kenya,0.0,,7/13/2015,Kyeong Ho Lee,,,,,,,,,,,,
FRD0745 Ford Fdn - 0150-0745,Ford Foundation,Grant Award,Financial Products Innovation Fund III,,4/30/2015,1,1,,0.0,,7/20/2015,,,,,,,,,,,,,
New Proposal for Evaluation of Government of Uganda?s Programmes and Policies,International Initiative for Impact Evaluation (3ie),Grant Proposal,Evaluation of Government of Uganda?s Programmes and Policies,Thoai Ngo,8/24/2015,0,1,Uganda,0.0,,8/24/2015,,,,,,,,,,,,,
CAF Proposal for Rebuilding Trust for Financial Inclusion,CAF ? Development Bank of Latin America,Grant Proposal,Rebuilding Trust for Financial Inclusion,Matthew Bird,6/19/2016,0,1,Colombia,0.0,,6/19/2016,Carlos Parra,,,,,,,,,,,,
UCB-18-20003: Proposal for Endline Data Collection of Impact Evaluation of Prosoli (Colombia),"University of California, Berkeley",Grant Award,Impact Evaluation of Prosoli,Paul Gertler,10/1/2018,1,1,LAC-Other,0.0,,11/9/2018,Seth Garz,Frederico Finan,,,,,,,,,,,
BMG4464 - Gates ID OPP1114464 Financial Services for the Poor Research Fund_US,Gates Foundation,Grant Award,Equity-based Microfinance Contracts for Microenterprises,Simon Quinn,4/9/2015,1,1,,1.0,External Subaward,6/4/2015,Muhammad Meki,Faisal Bari,Kashif Zaheer Malik,,,,,,,,,,
"USA-19-10001: Innovation Finance and Commitment Mechanisms in Agricultural Input Decisions, DIV top up for MALI-ATAI",United States Agency for International Development (USAID),Grant Award,Rural Finance and Commitment Mechanisms in Agricultural Input Decisions,Andrew Dillon,1/30/2019,1,1,Francophone West Africa,0.0,Allocation,9/3/2019,Nicolo Tomaselli,,,,,,,,,,,,
WBK8018 Evaluating the Impact of Commitment Savings Accounts Linked to Mobile Money,World Bank,Grant Award,North Volta Rural Bank (NVRB) Ahoboa Savings Scale-Up,Tricia Gonwa,8/28/2015,1,1,Ghana,1.0,,1/27/2016,Robert Osei,Simone Schaner,Niklas Buehren,Markus Goldstein,Leora Klapper,,,,,,,,
An impact evaluation of the Youth Livelihood Programme (YLP) in Uganda,International Growth Centre (IGC),Grant Proposal,Stimulating Microenterprise Growth Follow-up (SMG II),Nathan Fiala,12/5/2016,0,1,Uganda,0.0,,12/5/2016,,,,,,,,,,,,,
BMG4464 - Gates ID OPP1114464 Financial Services for the Poor Research Fund_US,Gates Foundation,Grant Award,Deferred Wages,Lasse Brune,4/9/2015,1,1,Malawi,0.0,Internal Subaward,6/4/2015,Jason Kerwin,Eric Chyn,,,,,,,,,,,
BMG4464 - Gates ID OPP1114464 Financial Services for the Poor Research Fund_US,Gates Foundation,Grant Award,Stimulating Microcredit Take-Up in Rural Morocco,William Pariente,4/9/2015,1,1,,1.0,Internal Subaward,6/4/2015,Ralph De Haas,Florencia Devoto,Bruno Crepon,,,,,,,,,,
WBK8970 Agro-Processing in Cote d'Ivoire,World Bank,Grant Award,Kin Networks& Forced Solidarity and Women's Employment in Agro-Processing,Aletheia Donald,2/23/2016,1,1,Francophone West Africa,0.0,,4/15/2016,Florian Grosset,Supreet Kaur,Eliana Carranza,,,,,,,,,,
JPAL CVI Proposal for How to Build a State,Massachusetts Institute of Technology (MIT),Grant Proposal,How to Build a State,Andres Vargas,9/15/2017,0,1,Colombia,0.0,,9/15/2017,Michael Weintraub,Robert Blair,,,,,,,,,,,
HIF  Proposal for Communicating Bad News: Supporting the Colombian Victims Unit,Enhancing Learning and Research for Humanitarian Assistance,Grant Proposal,Communicating Bad News- Supporting the Colombian Victims Unit,Matthew Bird,3/16/2016,0,1,Colombia,0.0,,3/18/2016,Sebastian Chaskel,,,,,,,,,,,,
DUK0003: Modelo Peru - Mobile Money Adoption (Peru),Duke University,Grant Award,Modelo Peru - Mobile Money Adoption,Erica Field,5/4/2016,1,1,Peru,0.0,,6/23/2016,PhD Jose Alejandro Martinez,Gabriel Arrisueño Fajardo,,,,,,,,,,,
MIT0009:  JPAL PPE Educate in (Rwanda),Massachusetts Institute of Technology (MIT),Grant Award,Educate in Rwanda,Moussa P. Blimpo,9/15/2015,1,1,Rwanda,0.0,,2/29/2016,Todd Pugatch,,,,,,,,,,,,
"BMG7989 Financial Inclusion Tracker Uganda, Tanzania, Pakistan",Gates Foundation,Grant Award,FITS Uganda,Tavneet Suri,9/11/2015,1,1,Uganda,0.0,,11/13/2015,,,,,,,,,,,,,
"BMG7989 Financial Inclusion Tracker Uganda, Tanzania, Pakistan",Gates Foundation,Grant Award,FITS Tanzania,Tavneet Suri,9/11/2015,1,1,Tanzania,0.0,,11/13/2015,,,,,,,,,,,,,
